time,cx,cy,px,py,theta,v,omega
1774377078.0587368,651,630,1792,245,1.2453693183741446,-14.646245818405303,-0.36285652987144895
1774377078.1216881,651,630,1817,260,1.2635225272720778,0.0,0.28836896606701734
1774377078.181967,651,629,1757,534,1.4851115229250056,0.0,3.6760628206648693
1774377078.218047,652,630,1867,301,1.306355869865066,27.716275688891827,-4.954440961157188
1774377078.2502122,651,630,1885,310,1.3170659845232349,-31.089414502894503,0.33297119398134095
1774377078.279325,651,629,1817,254,1.2596314859377242,0.0,-1.9728252625151639
1774377078.315989,652,629,1803,246,1.249567148784797,27.274704122772793,-0.274501818037919
1774377078.35169,651,630,1838,272,1.2778716718137766,-28.01039127560254,0.7928207649110205
1774377078.3825269,651,630,1816,257,1.2609376626735191,0.0,-0.5491489981600164
1774377078.418407,651,630,1821,261,1.2652856438859252,0.0,0.1211808932775146
1774377078.45116,651,630,1817,260,1.2635225272720778,0.0,-0.0538307059888679
1774377078.480783,651,630,1825,262,1.2670386890527006,0.0,0.11869689187039732
1774377078.517714,651,629,1823,260,1.2657752282374255,0.0,-0.03421135410814371
1774377078.550546,652,629,1838,270,1.2768660118147441,30.458175691867517,0.33780503475844975
1774377078.5823622,651,630,1826,267,1.2711615076121086,-31.430485511101786,-0.17929533668895667
1774377078.619257,651,630,1826,265,1.269608426487973,0.0,-0.04209485338283028
1774377078.6511822,651,630,1823,265,1.268883417097185,0.0,-0.02270962620847563
1774377078.679737,651,630,1810,251,1.2547511046839117,0.0,-0.49491696015832104
1774377078.7174542,651,630,1829,273,1.2765382012275828,0.0,0.5776450007364595
1774377078.7496252,651,630,1881,308,1.3147536359429335,0.0,1.1878841715517425
1774377078.786342,651,630,1826,271,1.274272139814319,0.0,-1.1025363545576452
1774377078.816313,651,630,1825,271,1.2740341284008951,0.0,-0.007941357935610325
1774377078.854367,651,630,1831,273,1.2770087153119094,0.0,0.07816754450983508
1774377078.921958,651,630,1827,274,1.276844994304534,0.0,-0.0024222326025286575
1774377078.949023,651,630,1816,273,1.2734438377161637,0.0,-0.1256660531120581
1774377078.9860532,651,630,1809,271,1.2701748999120641,0.0,-0.08827756900439042
1774377079.016217,651,630,1858,297,1.3016022855715779,0.0,1.041892008767596
1774377079.052881,651,630,1783,241,1.2397990082071262,0.0,-1.6856661039330807
1774377079.0787919,651,630,1781,234,1.2337273721613544,0.0,-0.2343278985013039
1774377079.12005,651,630,1780,234,1.233450948972859,0.0,-0.006699853135236404
1774377079.149951,651,630,1778,238,1.2360594894780819,0.0,0.08723915890744822
1774377079.1862159,651,630,1779,238,1.2363345926348281,0.0,0.0075859352737798315
